"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.bowlerhat.co.uk/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1745497555","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.012","Thu, 24 Apr 2025 12:25:55 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1745497555","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/uploads/2020/09/sundaytimes-logo-1-300x59.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","10927","10927","10927","4.186","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.025","Mon, 25 Apr 2022 14:45:20 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/uploads/2020/09/sundaytimes-logo-1-300x59.png","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=4.1.2","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.041","Thu, 02 Jul 2026 08:47:44 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=4.1.2","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/case-studies/","text/html; charset=UTF-8","200","OK","Indexable","","Case Studies Archive - Bowler Hat","33","303","","0","0","","0","0","","0","","0","","0","Case Studies","12","Contact Us","10","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.bowlerhat.co.uk/case-studies/","https://www.bowlerhat.co.uk/case-studies/page/2/","","","","","139883","24277","24277","9.300","","442","80","5.525","66.288","Normal","2.857","2","1","","1350","672","0","99.700","98","46","0","9","5","0","","","","","503ab453aa2be90ad4cbccee7feb039f","0.083","Thu, 30 Jul 2026 13:21:54 GMT","","","","en-US","1.1","","","","","","https://www.bowlerhat.co.uk/case-studies/","2026-07-30 14:25:36"
"https://www.bowlerhat.co.uk/what-is-seo/","text/html; charset=UTF-8","200","OK","Indexable","","What Is SEO? - Bowler Hat","25","232","What is SEO? Learn what SEO is and you can leverage this often misunderstood marketing tactic to gain more traffic from Google.","127","801","","0","0","","0","What Is SEO?","12","","0","Your Situation – Where Are You Now?","35","Personalising SEO For Your Business","35","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.bowlerhat.co.uk/what-is-seo/","","","","","","137648","28896","28896","11.070","","2621","342","7.664","82.114","Easy","11.330","2","1","","688","672","0","99.700","77","42","0","17","8","0","","","","","bab033f04f89e877c15ebe0165fc79fa","0.084","","","","","en-US","1.1","","","","","","https://www.bowlerhat.co.uk/what-is-seo/","2026-07-30 14:25:36"
"https://www.bowlerhat.co.uk/services/ai-optimisation/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","AI Optimisation (GEO/AEO/AIO)| Birmingham, UK - Bowler Hat","58","550","","0","0","","0","0","","0","AI Optimisation (GEO/AEO/AIO)","29","","0","ASC - AI Optimisation (GEO/AEO/ASC)","35","Contact Us","10","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.bowlerhat.co.uk/services/content-marketing/","","","","","","139456","24292","24292","9.306","","418","74","5.649","69.344","Normal","2.713","2","2","","1347","672","0","99.700","68","35","0","9","5","0","","","","","3a6a2a4b1170649447c58406a5572fdb","0.050","Thu, 30 Jul 2026 13:21:54 GMT","","","","en-US","1.1","","","","","","https://www.bowlerhat.co.uk/services/ai-optimisation/","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.017","Thu, 02 Jul 2026 08:47:43 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/hash-link-scroll-offset/assets/js/hash-link-scroll-offset.min.js?ver=4328c2e4ec7e00c877a9","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.101","Tue, 10 Feb 2026 11:37:04 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/hash-link-scroll-offset/assets/js/hash-link-scroll-offset.min.js?ver=4328c2e4ec7e00c877a9","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/services/","text/html; charset=UTF-8","200","OK","Indexable","","Digital Marketing Services - Birmingham, UK | Bowler Hat","56","506","Digital Marketing Services: Strategy, SEO, PPC, Social, Content, Analytics and Conversion Optimisation - Get in touch for a consultation & marketing plan.","154","938","","0","0","","0","Digital Marketing Services","26","","0","Digital Marketing Services","26","SEO","3","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.bowlerhat.co.uk/services/","","","","","","151545","25377","25377","9.721","","420","80","5.250","69.369","Normal","2.510","2","1","","1350","672","0","99.700","76","35","0","9","5","0","","","","","b83c3016cc604a87e725186e8bc64ed5","0.033","Thu, 30 Jul 2026 13:21:54 GMT","","","","en-US","1.1","","","","","","https://www.bowlerhat.co.uk/services/","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=4.1.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.066","Thu, 02 Jul 2026 08:47:43 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=4.1.4","2026-07-30 14:25:37"
